,,,,
V5 Sector,V5 Sub-Sector,V5 Segment,V5 Sub-Segment,V5 Asset
Energy,Natural Gas,Natural Gas Supply Facility,,Unconventional Gas Extraction Facility
Energy,Natural Gas,Natural Gas Transport ,,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Port
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Tanker
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Pipeline Hub
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Pipeline Interconnect
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Receipt/Delivery Metering Station
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Compressor Station
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Control Center
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Segment
Energy,Petroleum Facility,,,
Energy,Petroleum Facility,,,Petroleum Refinery
Energy,Petroleum Facility,Crude Oil Storage Facility,,
Energy,Petroleum Facility,Crude Oil Storage Facility,,Strategic Petroleum Reserve
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,Crude Oil Land-based Terminal
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,Crude Oil Marine Terminal
Energy,Petroleum Facility,Crude Oil Supply Facility,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,Drilling Rig
Energy,Petroleum Facility,Crude Oil Supply Facility,,Gas-Oil Separation Plant
Energy,Petroleum Facility,Crude Oil Supply Facility,,Off-Shore Well
Energy,Petroleum Facility,Crude Oil Supply Facility,,On-Shore Well
Energy,Petroleum Facility,Crude Oil Supply Facility,,Oil Shale Production 
Energy,Petroleum Facility,Crude Oil Transport ,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,Crude Oil Tanker
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,Port Handling Crude Oil
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Control Center
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Pumping Station
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Segment
Energy,Petroleum Facility,Petroleum Product Storage,,
Energy,Petroleum Facility,Petroleum Product Storage,,Underground Petroleum Gas Storage
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,Military End-User Petroleum Product Storage
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,Non-Military End-User Petroleum Product Storage
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Bulk Plant
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Land-based Bulk Terminal
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Marine Bulk Terminal
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Storage Facility for Retail Distribution ,
Energy,Petroleum Facility,Petroleum Product Storage,,Heating Oil Dealer Facility
Energy,Petroleum Facility,Petroleum Product Storage,,Liquefied Petroleum Gas (LPG) Dealer Facility
Energy,Petroleum Facility,Petroleum Product Storage,,Motor Vehicle Fueling Station
Energy,Petroleum Facility,Petroleum Product Transport,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,Petroleum Product Handling Port
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,Petroleum Product Tanker
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Control Center
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Pumping Station
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Segment
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,Petroleum Rail Transport Route
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,Railroad Petroleum Tank Car
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,Tanker Truck
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,Tanker Truck Loading Rack
Energy,Petroleum Facility,Petroleum Supporting Facility,,
Energy,Petroleum Facility,Petroleum Supporting Facility,,Crude Oil Market
Energy,Petroleum Facility,Petroleum Supporting Facility,,Petroleum Product Market
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
